governorate,quism,shiakha,score
محافظة القاهرة,قسم اول مدينة نصر,زهراء مدينه نصر,1
محافظة القاهرة,قسم بدر,الحى الثانى والامتداد المستقبلى,1
محافظة القاهرة,قسم بدر,الحى الثالث والمنطقه الترفيهيه,1
محافظة القاهرة,قسم بدر,الحى الاول والحديقه المركزيه,1
محافظة القاهرة,قسم بدر,المنطقه الصناعيه شرق طريق الروبيكى,1
محافظة القاهرة,قسم بدر,الحى الرابع والباقى من محور مركز المدينه,1
محافظة القاهرة,قسم بدر,بدر 1,1
محافظة القاهرة,قسم بدر,الحى المتميز,1
محافظة القاهرة,قسم ثالث القاهرة الجديدة,القطاميه,1
محافظة القاهرة,قسم ثالث القاهرة الجديدة,الاندلس,1
محافظة الجيزة,قسم ثان 6 اكتوير,الحى الرابع,1
محافظة الجيزة,قسم ثان 6 اكتوير,الحى الخامس,1
محافظة الجيزة,قسم ثان 6 اكتوير,العاشره,1
محافظة الجيزة,قسم ثان 6 اكتوير,الحادي عشر,1
محافظة الجيزة,قسم ثان 6 اكتوير,الثاني عشر,1
محافظة القاهرة,قسم ثان القاهرة الجديدة,الرحاب والمستثمرون,1
محافظة القاهرة,قسم ثان القاهرة الجديدة,اكاديميه الشرطه والميراج,1
محافظة القاهرة,قسم ثان القاهرة الجديدة,الفردوس والكوثر,1
محافظة القاهرة,قسم حدائق القبة,حدائق القبه,1
محافظة القاهرة,قسم حدائق القبة,الحدائق,1
محافظة القاهرة,قسم حدائق القبة,مساكن الاميريه الجنوبيه,1
محافظة القاهرة,قسم حدائق القبة,منشيه الصدر,1
محافظة القاهرة,قسم حدائق القبة,الخاصه,1
محافظة القاهرة,قسم حدائق القبة,الوايلي الكبير شرق,1
محافظة القاهرة,قسم حدائق القبة,القبه,1
محافظة القاهرة,قسم حدائق القبة,الوايلي الكبير غرب,1
محافظة القاهرة,قسم روض الفرج,بن الرشيد,1
محافظة القاهرة,قسم روض الفرج,روض الفرج البلد,1
محافظة القاهرة,قسم روض الفرج,قصوره الشوام,1
محافظة القاهرة,قسم روض الفرج,طوسون,1
